,name,pos,num
0,Nahuel GUZMAN,Goalkeeper,1
1,Franco ARMANI,Goalkeeper,12
2,Wilfredo CABALLERO,Goalkeeper,23
3,Gabriel MERCADO,Defender,2
4,Nicolas TAGLIAFICO,Defender,3
5,Cristian ANSALDI,Defender,4
6,Federico FAZIO,Defender,6
7,Marcos ACUNA,Defender,8
8,Javier MASCHERANO,Defender,14
9,Marcos ROJO,Defender,16
10,Nicolas OTAMENDI,Defender,17
11,Eduardo SALVIO,Defender,18
12,Lucas BIGLIA,Midfielder,5
13,Ever BANEGA,Midfielder,7
14,Angel DI MARIA,Midfielder,11
15,Maximiliano MEZA,Midfielder,13
16,Enzo PEREZ,Midfielder,15
17,Giovani LO CELSO,Midfielder,20
18,Cristian PAVON,Midfielder,22
19,Gonzalo HIGUAIN,Forward,9
20,Lionel MESSI,Forward,10
21,Sergio AGUERO,Forward,19
22,Paulo DYBALA,Forward,21
23,Jorge SAMPAOLI,Coach,
