,team,confederacy
0,Argentina,CONMEBOL
1,Australia,AFC
2,Belgium,UEFA
3,Brazil,CONMEBOL
4,Colombia,CONMEBOL
5,Costa Rica,CONCACAF
6,Croatia,UEFA
7,Denmark,UEFA
8,Egypt,CAF
9,England,UEFA
10,France,UEFA
11,Germany,UEFA
12,Iceland,UEFA
13,IR Iran,AFC
14,Japan,AFC
15,Korea Republic,AFC
16,Mexico,CONCACAF
17,Morocco,CAF
18,Nigeria,CAF
19,Panama,CONCACAF
20,Peru,CONMEBOL
21,Poland,UEFA
22,Portugal,UEFA
23,Russia,UEFA
24,Saudi Arabia,AFC
25,Senegal,CAF
26,Serbia,UEFA
27,Spain,UEFA
28,Sweden,UEFA
29,Switzerland,UEFA
30,Tunisia,CAF
31,Uruguay,CONMEBOL
